Name,Total Score,Process Method,Cultivar,Farm_Gate,Uniformity,Fragrance,Wet Aroma,Brightness,Flavor,Body_1,Finish,Sweetness,Clean Cup,Complexity,Berry,Floral,Sugars,Caramel,Citrus,Nuts,Rustic,Spice,Honey,Body_2,Region,Drying Method,Roast Recommendations,Website,instock
Ethiopia Dry Process Mansur Aba Hikam,90.7,Dry Process (Natural),Heirloom Types,Yes,8.2,9,9.1,8.8,9.1,8.8,8.8,8.9,8.2,9.3,3.5,0,4,0,0,0,2,2,0,4,"Kebele Kota, Agaro, Jimma",Raised Bed Sun-Dried,City to Full City+,https://www.sweetmarias.com/ethiopia-dry-process-mansur-aba-hikam-7432.html,0
Ethiopia Dry Process Senna Katta Mountain,89.3,Dry Process (Natural),Heirloom Types,Yes,8.2,8.7,8.9,8.5,8.9,9.4,8.5,8.7,8.2,9.3,3,0,3,0,2,0,2,1,0,4.5,"Limmu Kossa, Jimma",Raised Bed Sun Dried,City+ to Full City+,https://www.sweetmarias.com/ethiopia-dry-process-senna-katta-mountain-7455.html,0
Ethiopia Dry Process Tesfaye Doni,88,Dry Process (Natural),Heirloom Types,Yes,8.3,8.7,9,8.7,9,8.7,8.7,8.8,7.5,9.6,3.5,2,3.5,0,1,0,3,2,0,3.5,"Dumerso, Yirga Cheffe",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/ethiopia-dry-process-tesfaye-doni-6699.html,0
Ethiopia Dukamo Rumudamo,93.5,Wet Process (Washed),Heirloom Types,Yes,9.5,9.3,9.5,9.2,9.5,8.7,9.5,9.3,9,9.5,0,3.5,4,0,2,0,0,1,0,4,"Rumudamo, Arbegona, Bensa, Sidama",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/ethiopia-dukamo-rumedamo-7707.html,0
Ethiopia Gera Genji Challa,90.3,Wet Process (Washed),Heirloom Types,Yes,8.5,9,9.4,9.3,9.3,8.7,9,9,8.8,9.3,2,2,3,0,2,0,0,2.5,3,3.5,"Gure Genji, Gera",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/ethiopia-gera-genji-challa-6963.html,0
Ethiopia Guji Buku Sayisa,89.6,Wet Process (Washed),Heirloom Types,Yes,9,8.9,9,8.5,9,8.3,8.2,9,8.2,9.5,2,2.5,3,0,2,0,1.5,2,2,3,"Buku Village, Hambela Wamena, Guji Zone",Raised Bed Sun-Dried,"City to City+ - the cracks are hardly audible, and best if you can watch for physical fracturing",https://www.sweetmarias.com/ethiopia-guji-buku-sayisa-7346.html,0
Ethiopia Guji Goro Bedessa,92.6,Wet Process (Washed),Heirloom Types,Yes,9,9.3,9.5,9,9.3,8.2,9.3,9.2,9.5,9.3,0,3.5,4,0.5,2,0,0,0,1,3,"Goro Bedessa, Guji Zone",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/ethiopia-guji-goro-bedessa-7620.html,0
Ethiopia Hambela Benti Nenka,91.5,Wet Process (Washed),Heirloom Types,Yes,9,9,9.2,9,9.2,8.2,9.5,9.2,9.5,9.2,0,2,4,0,2,0,0,0,2,3,"Benti Nenka, Hambela Wamena, Guji",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/ethiopia-hambela-benti-nenka-7617.html,0
Ethiopia Honey Process Kafa Dehab Mesfin Farm,90,Honey Process,Heirloom Types,Yes,9,8.7,8.8,8.5,9,9.4,8.7,8.8,8.5,9.1,0,0.5,4,0,2,0,0,0,3,4.5,"Kebele Tula, Gimbo District, Kafa",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-honey-process-kafa-dehab-mesfin-farm-7788.html,0
Ethiopia Kayon Mountain Taaroo,91.8,Wet Process (Washed),Heirloom Types,Yes,9,9,9.5,9,9.6,8,9.5,8.7,9.5,9.5,1.5,3.5,3,1,3,0,0,1.5,0.5,3,"Taaroo, Guji Zone",Raised Bed Sun-Dried,City to City+,https://www.sweetmarias.com/ethiopia-kayon-mountain-taaroo-7350.html,0
Ethiopia Organic Agaro Duromina,90.7,Wet Process (Washed),Heirloom Types,Yes,9,9,9.2,9,9.2,9,8.8,9,9,9,0,2,2.5,0,2,0,0,0,4,4,"Goma, Agaro",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/ethiopia-organic-agaro-duromina-7699.html,0
Ethiopia Organic Dry Process Wolenso Dabessa,89.2,Dry Process (Natural),Heirloom Types,Yes,8,9,9,8.4,9,9.2,8.6,8.8,8,9.2,3.5,0,3,0,0,0,2,0,0,4,"Wolenso, Limu Kossa",Raised Bed Sun-Dried,City+ to Full City+,https://www.sweetmarias.com/ethiopia-organic-dry-process-wolenso-dabessa-7514.html,0
Ethiopia Organic Gera Genji Challa,91.4,Wet Process (Washed),Heirloom Types,Yes,9,9.2,9.3,9.1,9.3,9,9.2,9,9,9.3,1.5,2.5,3,0,2.5,0,0,2,3,4,"Gera, Jimma",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/ethiopia-organic-gera-genji-challa-7297.html,0
Ethiopia Organic Geta Bore Coop,90.6,Wet Process (Washed),Heirloom Types,Yes,9,9,9.2,8.9,9.1,9,8.9,9,8.5,9,0,2,3.5,0,2,0,0,1.5,2,4,"Bore Woreda, Illubabor",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/ethiopia-organic-geta-bore-coop-7295.html,0
Ethiopia Organic Geta Bore Coop,90,Wet Process (Washed),Heirloom Types,No,8.5,8.7,9.2,9,9,9,8.5,9,8,9.1,1.5,2,3.5,0,2,0,1,2,2.5,4,"Bore Woreda, Illubabor",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/ethiopia-organic-geta-bore-coop-7700.html,0
Ethiopia Yirga Cheffe Chelbesa Danche,92.4,Wet Process (Washed),Heirloom Types,Yes,9.5,9.3,9.5,9,9.3,8.5,9.5,9,9.5,9.3,1,3.5,3.5,0,2,0,0,2.5,0,3.5,"Danche, Chelbesa Village, Gedeb Woreda",Raised Bed Sun-Dried,City to City+,https://www.sweetmarias.com/ethiopia-yirga-cheffe-chelbesa-danche-7623.html,0
Ethiopia Yirga Cheffe Halo Beriti,92.5,Wet Process (Washed),Heirloom Types,Yes,9,9.5,9.6,8.8,9.5,8.5,9.2,9.2,9.2,9.5,2,4,4,0,0,0,0,2,0,3.5,"Halo Beriti Kebele, Yirga Cheffe, Gedeb",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/ethiopia-yirga-cheffe-halo-beriti-7625.html,0
Kenya Dry Process Nyeri Kamoini,93,Dry Process (Natural),Bourbon Types,Yes,8.5,9.2,9.4,8.8,9.4,9,9,9,8.3,9.4,3.5,1,3,0,2.5,0,1,2,0,4,"Othaya town, Nyeri",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/kenya-dry-process-nyeri-kamoini-7637.html,0
Kenya Kiambu Mandela Farm AA,92.1,Wet Process (Washed),Bourbon Types,Yes,9,9.3,9.6,9.5,9.5,8.7,9.3,8.7,9,9.5,2,0,3,0,3,0,0,3,1,3.5,"Kiambu, Muranga",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/kenya-kiambu-mandela-farm-aa-6577.html,0
Kenya Kirinyaga Kainamui Peaberry,92.1,Wet Process (Washed),Bourbon Types,Yes,9,9.3,9.4,9.5,9.3,8.5,9.3,9,9.5,9.3,0,0,2.5,0,3.5,0,0,2,0,3.5,"Kianyaga, Kirinyaga",Raised Bed Sun-Dried,City to City+,https://www.sweetmarias.com/kenya-kirinyaga-kainamui-peaberry-7611.html,0
Kenya Kirinyaga Njeruri Estate AB,91.4,Wet Process Kenya Type,Bourbon Types,Yes,9,9.1,9.2,9.2,9.2,8.5,9.2,8.8,9,9.2,2,0,3.5,0,2,0,0,2,0,3.5,"Njukiini, Kirinyaga County",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-kirinyaga-njeruri-estate-ab-7608.html,0
Kenya Kirinyaga Wangerwe Estate AA,90.8,Wet Process Kenya Type,Bourbon Types,Yes,9,9,9.3,8.7,9.1,9,8.5,9,8.5,9.2,2,0,3,0,1,0,0,1.5,3,4,"Nyangeni town, Ngariama area, Gichugu Division, Kirinyaga",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-kirinyaga-wangerwe-estate-aa-7726.html,0
Kenya Kirinyaga Wangerwe Estate Peaberry,91.3,Wet Process Kenya Type,Bourbon Types,Yes,9.5,9,9,8.8,9.2,9.3,8.8,9,9,9.2,3,0,4,0,2,0,0.5,2,0,4.5,"Nyangeni town, Ngariama area, Gichugu Division, Kirinyaga",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/kenya-kirinyaga-wangerwe-estate-peaberry-7610.html,0
Kenya Muranga Kahete Peaberry,91.8,Wet Process Kenya Type,Bourbon Types,Yes,9,9.2,9.3,9,9.3,9.2,9.2,9.5,8.8,9.3,2.5,0,3.5,0,2.5,0,0,2,0,4,"Gitugi, Muranga",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-muranga-kahete-peaberry-7615.html,0
Kenya Muranga Karugiro Peaberry,92,Wet Process Kenya Type,Bourbon Types,Yes,9,9.2,9.5,9.2,9.3,8,9.3,9.5,9.2,9.3,3,1,3,0,2,0,0,2.5,0,3,"Kamacharia, Muranga",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/kenya-muranga-karugiro-peaberry-7616.html,0
Kenya Muranga Nguku AB,90.9,Wet Process (Washed),Bourbon Types,Yes,9,9.1,9.3,9.3,9.2,8.7,9,9.3,9,9,1,0,4,0,2.5,0,0,2,0,3.5,Muranga,Raised Bed Sun-Dried,City to City+,https://www.sweetmarias.com/kenya-muranga-nguku-ab-7268.html,0
Kenya Nyeri Chinga AA,93,Wet Process (Washed),Bourbon Types,Yes,9,9.2,9.5,9,9.5,9.5,9.3,9,9,9.5,3,0,3,0,2.5,0,0,3,0,4.5,"Chinga, Othaya, Nyeri",Raised Bed Sun-Dried,City to City+,https://www.sweetmarias.com/kenya-nyeri-chinga-aa-7631.html,0
Kenya Nyeri Chinga AB,91,Wet Process Kenya Type,Bourbon Types,Yes,9,9.2,9,9,9.1,8.8,9,9.2,9,9.2,2,1,3.5,1.5,2,0,0,2,2,4,Nyeri,Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-chinga-ab-7641.html,0
Kenya Nyeri Gatugi AA,92.5,Wet Process (Washed),Bourbon Types,Yes,9,9.2,9.3,9.3,9.4,8.7,9.2,9,9,9.4,1,0,4,0,3,0,0,2,0,3.5,"Gatugi, Nyeri",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/kenya-nyeri-gatugi-aa-7635.html,0
Kenya Nyeri Gatugi AB,91,Wet Process (Washed),Bourbon Types,Yes,8.5,9.2,9.4,8.8,9.4,8.9,9.2,9.3,9,9.3,2.5,0,4,0,2,0,0,3,0,4,"Gatugi, Nyeri",Raised Bed Sun-Dried,City to City+,https://www.sweetmarias.com/kenya-nyeri-gatugi-ab-7331.html,0
Kenya Nyeri Gatugi Peaberry,91,Wet Process (Washed),Bourbon Types,Yes,9,9,9.1,8.7,9.1,9,9,9.5,9,9.1,2.5,0,4,1,1.5,0,0,2,3,4,Nyeri,Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-gatugi-peaberry-7636.html,0
Kenya Nyeri Gaturiri Peaberry,90.6,Wet Process Kenya Type,Bourbon Types,Yes,9,9,9.2,8.9,9.2,9.2,9,9,9,9.1,2.5,0,4.5,2,2,0,0,1,0,4,"Gaturiri, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-gaturiri-peaberry-7614.html,0
Kenya Nyeri Gichathaini AB,91.5,Wet Process Kenya Type,Bourbon Types,Yes,9,9.3,9,9.4,9.3,8.5,9.5,8.7,9.5,9.3,2,0,3,0,3,0,0,3.5,0,3.5,Nyeri,Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/kenya-nyeri-gichathaini-ab-7607.html,0
Kenya Nyeri Gichichi AB,89.8,Wet Process (Washed),Bourbon Types,Yes,8.5,8.9,9,9,9,8.5,8.7,8.8,8.2,9.2,2.5,0,3.5,2,2,0,1.5,2.5,2,3.5,"Gichichi, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-gichichi-ab-7323.html,0
Kenya Nyeri Ichamama AA,90.1,Wet Process (Washed),Bourbon Types,Yes,9,8.7,9,9.4,9,8.1,8.9,9,9,9,0,0,4,0,3,0,0,2.5,0,3,Nyeri,Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-ichamama-aa-7340.html,0
Kenya Nyeri Ichamama Peaberry,89,Wet Process (Washed),Bourbon Types,Yes,9,8.8,9,8.8,9,9,8.8,8.8,8.2,9.1,2.5,0,3.5,0,1.5,0,1,2,0,4,"Karima Hill, Nyeri",Raised Bed Sun-Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-ichamama-peaberry-7341.html,0
Kenya Nyeri Kagunyu AA,89.6,Wet Process (Washed),Bourbon Types,Yes,9,9,9,9.2,9,8.5,8.7,8.8,8.2,9.2,2,0,3,0,3,0,2,0,0,3.5,"Karatina, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-kagunyu-aa-7338.html,0
Kenya Nyeri Kagunyu AB,89.1,Wet Process (Washed),Bourbon Types,Yes,9,9,8.8,9,8.9,8.7,8.8,8.7,8,9.2,2.5,0,3,0,2.5,0,2,2,0,3.5,"Karatina, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-kagunyu-ab-7339.html,0
Kenya Nyeri Kamoini AA,90.5,Wet Process (Washed),Bourbon Types,Yes,8.7,9,9.2,9,9.1,9,8.8,9,8.2,9.5,2.5,0,3,0,2.5,0,1,2,0,4,"Othaya town, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-kamoini-aa-7335.html,0
Kenya Nyeri Kamoini AA,92,Wet Process Kenya Type,Bourbon Types,Yes,9,9.3,9.3,9.3,9.5,8.5,9.3,9,9,9.3,0,0,3.5,0,3,0,0,2,0,3.5,"Othaya town, Nyeri",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/kenya-nyeri-kamoini-aa-7632.html,0
Kenya Nyeri Kamoini AB,90.6,Wet Process (Washed),Bourbon Types,Yes,8.5,8.8,9.1,9.1,9,8.8,9,9.3,9,9,1,1,4,2,2.5,0,0,2.5,0,4,"Othaya, Nyeri",Raised Bed Sun-Dried,"City to City+ were my favorite brews, but Full City works for a more bittersweet profile",https://www.sweetmarias.com/kenya-nyeri-kamoini-ab-7336.html,0
Kenya Nyeri Kamoini Peaberry,89.4,Wet Process Kenya Type,Bourbon Types,Yes,9,9,9.2,9,8.9,9,8.7,8.8,8,9.3,2.5,0,3.5,0,3,0,1,2.5,0,4,Nyeri,Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-kamoini-peaberry-7337.html,0
Kenya Nyeri Karuthi AA,91.5,Wet Process Kenya Type,Bourbon Types,Yes,9,9.2,9.3,9.3,9.3,8.8,9.3,9,9,9.3,2.5,0,4,0,2.5,0,0,1.5,0,4,"Karuthi, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-karuthi-aa-7638.html,0
Kenya Nyeri Kiaguthu AA,90.6,Wet Process (Washed),Bourbon Types,Yes,9,9.1,9.2,9.2,9.2,8.7,9,9,9,9.2,2,0,4,0,3.5,0,0,0,0,3.5,"Kiaguthu, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-kiaguthu-aa-7333.html,0
Kenya Nyeri Kiaguthu Peaberry,90.1,Wet Process (Washed),Bourbon Types,Yes,9,9,9.2,8.8,9,8.9,9,9,8.5,9.2,3,0,3,0,2,0,1,3,0,4,"Kiaguthu, Nyeri",Raised Bed Sun Dried,City to Full City,https://www.sweetmarias.com/kenya-nyeri-kiaguthu-pb-7334.html,0
Kenya Nyeri Kiamwangi AA,92,Wet Process Kenya Type,Bourbon Types,Yes,9,9.2,9.3,9.5,9.3,8.5,9.2,9,9,9.5,2,1,3,0,3,0,0,0,0,3.5,"Kiamwangi, Nyeri",Raised Bed Sun Dried,City to City+,https://www.sweetmarias.com/kenya-nyeri-kiamwangi-aa-7784.html,0
